All pregnancies:,,,,,,,,,,
2010,118.4,1.6,87.7,53,139.5,188.7,173.2,136.8,83,23.3
2009,127.6,1.9,100.1,61.1,158.9,208.2,185.7,142.7,84.3,23.9
2008,136.9,2.2,111.5,69.7,176.4,229.5,197.1,149.2,87.2,23.9
2007,143.7,2.2,119.9,74.1,193.3,243.3,206.7,153.4,89,23.8
2006,146.2,2.4,123.5,75.4,199.7,248.8,209.6,153.4,88.8,24
2005,143.3,2.4,122.3,76.6,193.6,240.9,205.1,150.4,86.5,23.2
2004,143.9,2.4,127.1,80.2,198.5,241.9,203.4,148.5,85.4,22.7
2003,144.2,2.5,127.5,80.6,198.4,243.2,203.6,147.3,83.2,23
2002,144.8,2.7,131.8,83.9,203,245.6,201.8,144.6,81.9,22.6
2001,145.9,3,137.7,87.9,209.4,247.5,200.6,143.9,80.7,22.2
2000,147.5,3.3,143.9,94.8,213.9,250.3,200.8,143.3,78.8,21.8
1999,143.5,3.5,143.2,97,209.6,241.1,198.6,136.4,75.9,20.4
1998,143.9,3.8,146.3,100.3,214.5,243.2,199.1,133.7,74.2,20.6
1997,144.3,4,147.7,102.6,215.5,245.8,199.9,131.6,73.6,20.5
1996,149.4,4.4,157.1,109.4,228.4,256.5,204.4,134,74.9,20.3
1995,151.2,4.7,163.3,115.5,234.2,259.6,203.2,133.4,74.8,20.5
1994,156.6,4.9,169,120.3,240.7,270.1,208.8,136.5,75.8,21.1
1993,160.6,4.9,170.3,117.8,247.9,277.3,213.8,139.9,76.6,20.8
1992,166.2,4.9,174,119.7,253.9,286.6,219.3,144.1,80.1,21.7
1991,164.1,4.6,173.7,117.4,254.3,279.5,217,141.3,77.3,20.6
1990,164.2,4.4,167.4,113,242.4,271.2,219.3,145.4,78.1,21
Live births:,,,,,,,,,,
2010,80.2,0.8,55.7,32.3,90.7,126.1,125.3,96.6,51.7,13.7
2009,86.5,1,63.6,37.3,103.3,140.1,134.3,100.8,52.5,14
2008,92.7,1.1,70.3,42.2,114,154.1,142.3,105.3,54,14
2007,97.4,1.2,75.3,44.4,124.7,164.6,149.5,108.5,55,13.8
2006,98.3,1.2,77.4,45.1,128.7,166.7,149.9,107.5,54.6,13.7
2005,96.4,1.3,76.5,45.8,124.4,161.1,147,105.6,53.3,13.4
2004,95.7,1.2,78.1,47.3,124.8,159.2,144.7,103.4,52.2,12.9
2003,95.2,1.3,78.4,47.6,124.8,159.1,144,101.5,50.1,12.7
2002,94.7,1.4,80.6,49.3,127.1,159,141.6,98.3,48.8,12.3
2001,95.4,1.5,84.4,51.9,131.3,160.5,140.8,97.8,47.9,12.1
2000,95.9,1.7,87.3,55.5,132.6,161.3,139.9,97.1,46.6,12
1999,93,1.9,86.8,56.9,129.5,157.3,135.8,92.3,44.5,11.1
1998,93.2,1.9,87.9,58.5,131.5,159.3,136.1,90.5,43.4,11.3
1997,94.2,2.1,89.6,61.1,132.4,162.6,137.5,89.6,43.4,11.2
1996,97.5,2.4,94.6,64.2,140,170.2,140.7,91.3,43.9,11.2
1995,98.8,2.6,99.3,68.3,145.4,171.9,140.4,90.5,43.7,11.2
1994,100.7,2.6,101.3,69.9,147.5,175.7,142.4,91.1,43.4,11.1
1993,103.3,2.6,101.8,68.5,151.1,180,146,93.2,44.1,11.1
1992,106.1,2.5,103.3,68.9,153.8,185.1,148.7,94.7,45.3,11.4
1991,106.9,2.4,104.6,69.2,155.4,184.6,149.9,95,44.7,11.1
1990,107.6,2.4,100.2,65.8,147.6,180.8,152.8,98.1,45.2,11.4
Induced abortions:,,,,,,,,,,
2010,20.3,0.5,15.4,8.6,25.5,38.8,29.7,19.4,10.9,4.2
2009,21.8,0.6,17.5,9.8,29.1,41.7,31.9,20.3,11.2,4.4
2008,23.8,0.6,20.1,11.7,33.2,46.4,34,21.1,12,4.3
2007,24.8,0.6,22.1,13,36.7,47.7,35.5,21.5,12.4,4.6
2006,26.2,0.7,22.9,13.4,38.1,50.6,37.9,22.7,12.7,4.8
2005,25.7,0.7,22.9,13.6,37.4,49.5,36.7,22,12.3,4.5
2004,27.2,0.7,25.7,15.1,41.7,52.8,37.6,22.8,12.6,4.7
2003,28.2,0.7,25.7,15.1,41.6,54.1,38.7,23.9,13.3,5.3
2002,29.4,0.8,27,16,43.3,56.6,39.6,25,13.9,5.4
2001,29.6,0.9,28,16.6,44.4,56.7,39.2,25,13.9,5.3
2000,30.6,1,30.3,18.4,47.3,58.6,40.5,25.2,13.8,5
1999,31.4,1,32.1,20.2,49.1,60.3,41.5,25.2,14.1,5
1998,31.6,1.1,33.7,21.5,51.6,60.1,41.6,24.6,14,5
1997,30.7,1.1,32.7,20.3,51.4,58.8,40.8,23.7,13.4,4.9
1996,31.9,1.2,35.7,22.9,54.9,60.9,41.6,24.1,14,4.8
1995,32.2,1.2,35.8,23.5,54,62.1,40.8,24.4,14.3,5
1994,35.4,1.4,39,26.1,58,68.2,44.1,26.8,15.6,5.7
1993,36.4,1.4,39.7,25.5,60.7,70.4,45,27.6,15.4,5.4
1992,38.8,1.5,41.6,26.8,63.3,73.9,47.3,29.9,17.2,5.9
1991,35.8,1.4,39.6,24.2,61.7,67.4,43.6,26.8,15.4,5.2
1990,35.1,1.1,39.1,24.3,59.5,63.4,42.6,27.2,15.4,5.2
Fetal losses 5/:,,,,,,,,,,
2010,17.9,0.3,16.6,12.1,23.2,23.8,18.2,20.8,20.4,5.4
2009,19.2,0.4,19,14,26.5,26.4,19.5,21.7,20.7,5.5
2008,20.5,0.4,21.1,15.8,29.2,29,20.7,22.7,21.3,5.5
2007,21.5,0.4,22.5,16.7,32,31,21.7,23.4,21.7,5.4
2006,21.6,0.5,23.1,16.9,33,31.4,21.8,23.2,21.5,5.4
2005,21.2,0.5,22.9,17.2,31.9,30.4,21.4,22.8,21,5.3
2004,21,0.5,23.4,17.8,32,30,21.1,22.3,20.6,5.1
2003,20.9,0.5,23.5,17.9,32,30,20.9,21.9,19.8,5
2002,20.7,0.5,24.2,18.5,32.6,30,20.6,21.2,19.2,4.8
2001,20.9,0.6,25.3,19.5,33.7,30.3,20.5,21.1,18.9,4.8
2000,21,0.6,26.3,20.8,34,30.4,20.4,20.9,18.4,4.7
1999,19,0.6,24.4,19.8,31,23.5,21.3,18.9,17.2,4.3
1998,19.1,0.7,24.8,20.3,31.4,23.8,21.4,18.5,16.8,4.4
1997,19.3,0.7,25.4,21.2,31.7,24.3,21.6,18.4,16.8,4.3
1996,20,0.8,26.8,22.3,33.5,25.4,22.1,18.7,17,4.3
1995,20.2,0.9,28.2,23.7,34.8,25.7,22,18.5,16.9,4.3
1994,20.5,0.9,28.7,24.3,35.3,26.3,22.3,18.7,16.8,4.3
1993,20.9,0.9,28.8,23.8,36.1,26.9,22.9,19.1,17,4.3
1992,21.4,0.9,29.1,23.9,36.8,27.7,23.3,19.4,17.5,4.4
1991,21.5,0.8,29.4,24,37.2,27.6,23.5,19.5,17.3,4.3
1990,21.5,0.8,28.1,22.9,35.3,27,24,20.1,17.5,4.4
